央视频道,#genre#
CCTV1,http://39.135.126.72:6610/PLTV/11/224/3221227209/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.100.179%2C20250120235555%2CH265-3500k-1080P-cctv1%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C404264356%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQuCMBzFv82OQ5fkOuxkBEFYkHWN5_Z3SdPVZkHfPhUPHd_j93u8IUDTfqtqCWEyqWXdIMu1kWhkmkuR0ApprTcs0qv0SjAN59relt5M2vVc3NJccLHmKd9IVk1zOwerkpks311NYQmjdqbwaTUpExv-QeSwNpDF0Pqenxy-l-AWhFG1XOvfzrFhChXiYyzYHbHw3ROBzMHbmVMNXCT2hH7AUomO_rxjMOOJH8y7wmjrAAAA&Fsv_Tgid=54240a174264e17e&IASHttpSessionId=RR814820250120155555128677&ispcode=114
CCTV2,http://39.135.126.68:6610/PLTV/11/224/3221227206/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.100.179%2C20250120235600%2CH265-3500k-1080P-cctv2%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534240%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQ6CMBREb9NlU1oBXXSlMTExaAK6NZ_2txIL1RZIvL1AWLicyXuT6QMoPB2k4CkHk6BOM7ExhtXplqWZSoBvhMh3jET8FF5yosC5prOF17N2L_ePJOeUZzShuy2p5rmjAyvZQhZDW2NYw6SVGMZGodTR0BEiBWsDWugb39Grg-8tuBUhWK3XusE50s-hgviaCvKEuPftGwLqs7cLJw24iOQN6gUWC2jxz7sEPZ34ARb-uaTrAAAA&Fsv_Tgid=54240a20435e113d&IASHttpSessionId=RR813220250120155600133490&ispcode=114
CCTV3,http://[2409:8087:1400:11::10F4]:6060/PLTV/11/224/3221227215/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121052713%2CH265-3500k-1080P-cctv3%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534280%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQ6CMBREb9Nl06JCWXSFMTExaAK6NV_6WwmFYgsk3l4gLFzO5L3JDB4qPB_lLo5AiL1OleZ7gSxVyIGJJOb8oGLBSMBP7mREKrC27kzu1KI9iuzJk4hGMeWUM0bKZe9kwUi2ovnYvtBvYfYK9FNdoVRB0wkCBWM8Ghhq19Gbhe_d2w0hWG7futFaMiyhhNDMBXlDyFzbg0d1cWblpAYbkPRQNWAwhxb_vKtX84kfSZsDlOwAAAA&Fsv_Tgid=5424a5640e70813c
CCTV4,http://[2409:8087:1400:11::10F4]:6060/PLTV/11/224/3221227324/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121052717%2CH265-3500k-1080P-cctv4%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534182%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQrCMBREb5NlSGKqdZGVIghSBatb-U1-Ymna1KQK3t62dOFyhveGGSJoPO7VBrS2IDMmhZV5LiqRSb6yW8ZkxY3JSMJXEZQgGryvO1cEM2n36-7BN4KKNeWUM0bKae_gwSk2o8W7rTAuYfSuGD-1RmWSpR9IFJyL6GCoQ0cvHr636BeEYLl8697ek2EKJaRmLMgT0i60PUQ0p-BmTlnwCUkPugGHBbT4552jGU_8AA-iwZXsAAAA&Fsv_Tgid=5424a56c26b2a31f
CCTV5,http://[2409:8087:1400:11::10F4]:6060/PLTV/11/224/3221227218/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121052721%2CH265-3500k-1080P-cctv5%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534266%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQrCMBREb5NlSIOm6SIrRRCkCla38pP8xtK00aQteHtb6cLlDO8NM0QweNwrrllR1yaXgstNYVHqrRaCSc2N5CAKkvBdBsWJAe-b3pXBLtr9untkOadc0IxmjJFq2Tt4cIr90HLsNMY1zN4V49QYVDbVdIJEwbmIDoYm9PTi4XOLfkUIVuu3fvSeDEuoILVzQZ6QdqF7QUR7Cu7HqRp8QvIC04LDEjr8887Rzie-WZRR5uwAAAA&Fsv_Tgid=5424a57343bb34fd
CCTV6,http://39.134.52.7:6060/PLTV/11/224/3221227221/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121061013%2CH265-3500k-1080P-cctv6%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534110%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OsQrCMBiE3yZjSGJtccikCIJUweoq1-Q3lqaNJlXw7W2lg-Md33fcEGFot9GFqo2waoW8MFmRL2qxVITMKMgamVyyRM8yaMUMvG96VwY7aZfT-ioLxVXOJZdCsGra23o4LX5o-epqinMYvRPFd2NI23TjbyQO5yI5DE3o-dHjc45-RhhV87f-5T0bplAhtWPB7kjr0D0Qye6D-3H6Bp-IPWBaOCrR0Z93iHY88QWF-A3M7AAAAA&Fsv_Tgid=5424b98acbdb8456
CCTV7,http://39.134.52.7:6060/PLTV/11/224/3221227350/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121061017%2CH265-3500k-1080P-cctv7%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C413789463%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQuCMBzFv82OQ0fTOuxkBEFYkHWN1_ZvidPZZkHfPhUPHd_j93u8IUDTfquklCYDbWBEvloJrHWeyzXumdAJZZJYpFfplWAaztWdLb2ZtOu5uKW54CLjKU-ThFXT3s7BqmRGy3d7p7CE0TtT-NSalIkP_kHksDaQxVD7jp8cvpfgFoRRtXzr3s6xYQoVYjMW7IlY-LZHIHPwdubUAy4S66EbWCrR0p93DGY88QPVoUoK7AAAAA&Fsv_Tgid=5424b992eb254732
CCTV8, http://39.134.52.7:6060/PLTV/11/224/3221227325/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121061020%2CH265-3500k-1080P-cctv8%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534108%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OywrCMBRE_ybLkLb2tchKEQSpgtWtjMltLE0bTarg39tKFy5nOGeY0UPRbiNLUUZIFfIixapAgkTHWZqInKCEECkL9KycjJmCte1gKqdn7XJaX6M85nHGIx4Jwep5b2thpPih1au_kV_C5J3Iv1tFUoeGvxE4jPFkMLZu4EeLz9nbBWFUL9-Gl7VsnEON0E0FuyOsXf-AJ7135sfJBjYQe0B1MFShpz_v4PV04gtK84hu7AAAAA&Fsv_Tgid=5424b9991e90ca07
卫视频道,#genre#
北京卫视,http://39.135.126.71:6610/PLTV/11/224/3221227340/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121061047%2CH265-3500k-1080P-beijingstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534140%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2Oyw6CMBRE_6bLhhbksehKY2Ji0ER0ay7tbSUUii2S-PcCYeFyJudMZvQg8XQQma6RJ3XBNMOkkEVep4mO4wzziO9UkZGA79IJTiRY2_SmdGrRHrf9k2Wc8pQyyqKIVMve0YIR0YqWn65Gv4XZu6GfGolCBU0nCBSM8WhgbFxPrxa-d283hGC1fes_1pJxCRWEdi7IC8LedQN4VGdnVk5osAHJALIFgyV0-OddvJpP_AA2EU567AAAAA&Fsv_Tgid=5424b9cf14a63913&IASHttpSessionId=RR1641920250120221047976766&ispcode=114
